D_MoM_1,IOP_MoM_1,E_MoM_1,H_MoM_1,N_MoM_1,C_QoQ_2,GBP/US_3,A_QoQ_5,T_MoM_4,awe_1,loans_1,F_MoM_2,eu_gdp_5,y_3,B_MoM_2,T_MoM_2,us_gdp_2,unemply_1,C_MoM_1,P3G_QoQ_2,M_MoM_2,imp_2,cpi_3,L_MoM_2,I_MoM_4,pop_5,GT_QoQ_2,A_MoM_2,K_MoM_2,sr_5,F_MoM_1,br_2,T_MoM_1,date,A_MoM_1,I_MoM_2,A_QoQ_8,H_MoM_2,br_1,P51_QoQ_2,oil_pl_3,sr_2,E_MoM_2,gscpi_2,cpi_5,L_MoM_1,IOP_MoM_2,awe_3,G_MoM_1,eu_gdp_2,K_MoM_1,pop_2,unemply_2,y,expp_2,GT_MoM_2,unemply_3,P3H_QoQ_5,GVA_MoM_1,Q_MoM_1,F_QoQ_2,BE_QoQ_2,N_MoM_2,S_MoM_1,O_MoM_1,gscpi_1,P6_QoQ_2,S_MoM_2,P7_QoQ_2,J_MoM_2,B_MoM_1,I_MoM_3,Q_MoM_2,BE_MoM_2,P_MoM_2,us_gdp_5,GBP/EU_3,P3H_QoQ_2,oil_pl_1,oil_pl_2,R_MoM_1,GVA_MoM_2,IOS_MoM_2,IOS_MoM_1,m4_1,BE_MoM_1,P51S_QoQ_2,D_MoM_2,G_MoM_2,cpi_1,J_MoM_1,m4_lend_2,P3N_QoQ_2,GBP/US_1,P_MoM_1,m4_2,loans_2,m4_lend_1,GT_MoM_1,O_MoM_2,cpi_4,br_3,A_QoQ_11,I_MoM_1,GBP/EU_1,A_QoQ_2,GBP/US_2,T_MoM_3,awe_2,C_MoM_2,M_MoM_1,cpi_2,GBP/EU_2,R_MoM_2,data_type,exp_2,cpi_pc_1,br_pc_1,unemply_pc_1,awe_pc_1,GBP/US_pc_1,GBP/EU_pc_1,oil_pl_pc_1,cpi_pc_2,br_pc_2,unemply_pc_2,awe_pc_2,GBP/US_pc_2,GBP/EU_pc_2,oil_pl_pc_2,us_gdp_pc_1,eu_gdp_pc_1,sr_pc_1,pop_pc_1
-2.3,0.001,-0.2,3.6,0.6,-1.4,1.820372727272727,-3.8,5.4,372.0,11307.0,-0.4,2923831.0,0.0,-8.7,-8.5,3878154.8,4.7,-0.3,0.6,-0.5,0.31679457556862,76.602,-0.1,0.2,59950.0,0.9,-2.3,3.6,4.57106,-0.7,4.75,2.7,2004-12-01,-2.2,1.2,-2.7,0.5,4.75,1.8,14.34524181,4.92225333333333,0.4,-0.01496438723007502,76.601,-0.4,-0.003,367.0,-0.1,2932664.0,2.2,60066.0,4.7,0.1,-1.83311033811408,0.6,4.7,0.9,0.37,0.3,-1.2,-2.1,-0.5,1.4,0.1,-0.5993108648410935,1.3,2.1,2.7,1.2,5.6,-0.6,0.5,-0.3,-0.8,3841712.5,1.493190909090909,0.5,16.99946427,14.77978447,1.2,0.36,0.6,0.5,9.6,0.1,5.9,-4.4,0.7,76.878,-0.9,13.8,2.0,1.806485714285714,1.8,9.0,13652.0,13.0,0.5,0.3,76.405,4.715909090909091,-3.2,0.3,1.445509523809524,-2.4,1.792159090909091,-3.1,369.0,1.0,0.2,76.678,1.467636363636363,0.7,train,5.24472161405853,0.15018350264210595,0.15018350264210595,0.15018350264210595,0.15018350264210595,0.15018350264210595,0.15018350264210595,0.15018350264210595,0.030291762645442644,0.030291762645442644,0.030291762645442644,0.030291762645442644,0.030291762645442644,0.030291762645442644,0.030291762645442644,0.0019349457881567974,0.0019349457881567974,0.0019349457881567974,0.0019349457881567974
-3.3,0.009000000000000001,3.8,0.9,-0.8,0.3,1.860322727272728,-2.4,2.7,379.0,15334.0,0.5,2932664.0,0.1,-2.3,-4.3,3917720.0,4.8,1.2,1.0,-1.4,0.314289907034075,77.031,-0.2,0.3,60066.0,1.0,4.3,1.7,4.92225333333333,0.8,4.75,-0.4,2005-03-01,5.8,0.3,-3.8,-0.1,4.75,0.4,15.25306998,4.88511,0.8,0.1134757030726111,76.678,1.0,-0.005,372.0,0.5,2946878.3,2.9,60182.0,4.7,0.8,4.05030713125052,0.1,4.7,0.5,0.9,-0.1,-0.9,-0.4,0.5,-0.1,0.9,-0.1013547806640258,3.2,-1.8,1.5,-0.1,-1.1,1.0,0.0,-0.5,0.0,3878154.8,1.431081818181818,0.8,14.59605142,13.22481323,0.9,0.05,0.1,0.9,9.2,0.9,2.2,-2.3,0.5,77.015,-0.4,12.7,0.8,1.878514285714286,-0.1,9.3,8615.0,12.2,0.9,-0.3,76.878,4.75,-2.7,0.0,1.43217619047619,-2.4,1.927408695652174,-11.6,373.0,-0.2,3.1,77.433,1.438639130434783,0.7,train,13.4213300339449,0.10368677168834388,0.10368677168834388,0.10368677168834388,0.10368677168834388,0.10368677168834388,0.10368677168834388,0.10368677168834388,-0.1329736736709051,-0.1329736736709051,-0.1329736736709051,-0.1329736736709051,-0.1329736736709051,-0.1329736736709051,-0.1329736736709051,0.0019312090034295608,0.0019312090034295608,0.0019312090034295608,0.0019312090034295608
2.8,0.026,1.0,-0.4,0.1,0.5,1.88706,-2.4,-0.4,379.0,12447.0,0.4,2946878.3,0.8,0.7,28.6,3961181.8,4.8,3.0,-0.5,-2.3,0.326400130990228,77.208,-0.2,0.0,60182.0,0.8,0.9,-0.4,4.88511,0.3,4.75,7.3,2005-06-01,-0.9,1.2,-2.4,-0.9,4.75,1.9,15.21762781,4.91707,0.0,-0.2664169797259969,77.433,0.7,-0.016,371.0,3.7,2954995.7,0.2,60298.0,4.7,0.9,-10.6987532367116,-0.3,4.7,0.8,1.32,1.2,1.7,-0.1,0.2,1.6,1.0,-1.295314108259932,-2.0,-1.5,-0.5,2.0,0.5,0.1,0.7,-1.6,-0.1,3917720.0,1.449895,1.1,17.71864374,17.66825331,1.3,-0.45,-0.3,1.2,10.5,2.6,-0.5,-4.4,-2.0,77.843,1.1,12.7,0.5,1.895985714285713,0.0,10.6,8806.0,12.3,1.2,0.2,77.015,4.75,-3.8,-1.1,1.465195238095238,12.5,1.904508695652174,23.5,376.0,-1.8,2.6,77.542,1.443817391304348,0.0,train,-7.58734425326516,0.002852032349540737,0.002852032349540737,0.002852032349540737,0.002852032349540737,0.002852032349540737,0.002852032349540737,0.002852032349540737,0.16103860145597826,0.16103860145597826,0.16103860145597826,0.16103860145597826,0.16103860145597826,0.16103860145597826,0.16103860145597826,0.0019274866239074805,0.0019274866239074805,0.0019274866239074805,0.0019274866239074805
-0.8,-0.011,1.5,0.0,2.2,1.6,1.854954545454546,12.5,7.3,383.0,10786.0,-0.5,2954995.7,0.9,-3.0,-21.1,3980695.5,4.7,-1.0,1.6,2.9,0.354850082947863,78.104,-0.1,-1.1,60298.0,0.9,0.4,0.4,4.91707,-0.7,4.75,-8.8,2005-09-01,1.3,-1.5,-2.4,0.8,4.75,2.4,17.06399804,4.89285,-1.2,-0.9210138443819805,77.542,1.5,0.008,380.0,0.5,2975304.6,3.2,60413.0,4.7,1.0,9.9962806538806,0.7,4.8,1.1,0.54,-0.1,0.4,1.1,0.6,2.0,0.8,-0.8610575085957036,5.9,1.9,4.1,2.7,-4.0,1.2,0.4,0.8,0.1,3961181.8,1.461609090909091,0.0,20.68065696,19.06312229,2.0,0.63,0.7,1.0,11.1,-1.1,55.6,0.6,1.0,78.193,2.2,12.4,-1.0,1.750885714285714,0.1,10.6,17826.0,12.4,1.0,-0.1,77.843,4.75,-2.4,0.7,1.454719047619047,0.6,1.817895454545454,2.0,380.0,1.6,-1.8,78.143,1.495163636363636,1.2,train,25.8616376966271,0.08485150781666634,0.08485150781666634,0.08485150781666634,0.08485150781666634,0.08485150781666634,0.08485150781666634,0.08485150781666634,0.11715450536936405,0.11715450536936405,0.11715450536936405,0.11715450536936405,0.11715450536936405,0.11715450536936405,0.11715450536936405,0.0019071942684666158,0.0019071942684666158,0.0019071942684666158,0.0019071942684666158
-0.3,-0.006999999999999999,0.4,1.6,0.6,0.1,1.79494347826087,0.6,-8.8,388.0,8838.0,-0.1,2975304.6,1.0,5.5,24.8,4011896.8,5.1,-0.7,0.4,0.4,0.395535612748433,78.449,0.3,0.7,60413.0,1.5,0.2,0.8,4.89285,-0.3,4.5,3.4,2005-12-01,-1.0,-0.9,12.5,0.7,4.5,-1.0,21.93140937,4.61648333333333,-4.5,0.07764546948635487,78.143,0.3,0.012,386.0,0.9,2998874.8,-4.1,60517.0,4.9,1.3,-4.80230191507444,0.3,4.7,0.0,-0.21,-0.2,-1.5,-0.9,3.1,-2.1,0.4,-0.08983554987538545,1.1,-3.2,1.1,1.5,-2.2,-1.1,-0.1,1.2,-1.4,3980695.5,1.459534782608696,1.2,21.432538,22.37306032,0.2,0.41,0.3,-0.1,11.5,-0.7,-32.2,1.3,-0.3,78.683,-0.3,11.9,-0.2,1.763995238095238,-2.1,11.5,14329.0,12.0,-0.1,0.1,78.193,4.532608695652174,-2.4,1.3,1.467419047619047,2.1,1.808122727272727,-20.2,387.0,1.4,2.5,78.565,1.476081818181818,0.6,train,4.62131637502073,-0.04203816136674142,-0.04203816136674142,-0.04203816136674142,-0.04203816136674142,-0.04203816136674142,-0.04203816136674142,-0.04203816136674142,0.020137828014105397,0.020137828014105397,0.020137828014105397,0.020137828014105397,0.020137828014105397,0.020137828014105397,0.020137828014105397,0.0017214837866022213,0.0017214837866022213,0.0017214837866022213,0.0017214837866022213
3.1,-0.014,-4.5,-1.6,-3.2,2.3,1.734127272727273,2.1,3.4,391.0,15987.0,0.4,2998874.8,1.3,3.0,-2.5,4034183.5,5.2,-2.3,0.6,0.4,0.400704128486164,78.679,0.3,1.3,60517.0,1.0,0.2,-0.7,4.61648333333333,0.5,4.5,-3.9,2006-03-01,0.6,-1.6,0.6,1.1,4.5,-0.5,20.50502384,4.61426666666667,0.7,-0.6968666255091833,78.565,-0.1,0.035,390.0,0.7,3020709.8,-0.8,60620.0,5.1,0.1,5.78480666480752,0.3,5.1,1.2,-0.4,0.4,-0.2,1.7,-0.3,1.8,-0.9,-0.3644904926867764,3.9,1.4,2.6,2.1,3.8,0.9,0.5,3.5,-0.7,4011896.8,1.471927272727273,0.5,22.27231611,20.61579454,-0.8,0.83,0.3,-0.3,12.2,-1.4,-0.5,0.6,0.6,78.514,-1.4,12.1,2.7,1.765495454545454,1.0,12.8,7753.0,12.2,-0.3,0.2,78.683,4.5,12.5,2.9,1.45805,-0.6,1.744886363636363,23.5,390.0,4.2,-0.2,78.918,1.47125,1.6,train,16.6901710692915,0.08035206049351706,0.08035206049351706,0.08035206049351706,0.08035206049351706,0.08035206049351706,0.08035206049351706,0.08035206049351706,0.005402124906771129,0.005402124906771129,0.005402124906771129,0.005402124906771129,0.005402124906771129,0.005402124906771129,0.005402124906771129,0.0017020010906026405,0.0017020010906026405,0.0017020010906026405,0.0017020010906026405
-1.8,0.003,-1.3,1.1,-2.5,1.8,1.74703,-0.6,-3.9,395.0,12797.0,0.3,3020709.8,0.1,-2.1,-4.3,4088458.8,5.4,1.0,0.9,0.6,0.426330038544911,78.779,0.7,2.9,60620.0,0.3,-0.3,-0.9,4.61426666666667,0.2,4.5,4.1,2006-06-01,-0.6,-0.5,2.1,1.2,4.5,1.1,22.11146383,4.59102666666667,-1.8,-0.3988388909910406,78.918,0.3,0.011,392.0,-0.6,3050990.2,-1.7,60724.0,5.3,0.1,44.2990840995667,0.2,5.2,0.5,-0.26,-0.8,1.3,1.6,0.7,-0.3,0.3,0.09705338135010463,11.8,0.3,11.0,-0.7,-1.9,-4.2,-0.6,1.1,-0.3,4034183.5,1.463685,-0.5,24.61832433,22.52379442,0.5,0.39,0.2,-0.4,13.0,0.3,5.1,3.4,1.2,79.423,-1.7,13.3,-1.4,1.766795,-0.9,12.5,14188.0,14.5,-0.4,0.2,78.514,4.5,0.6,1.3,1.44107,0.7,1.743526086956521,-16.7,398.0,1.7,0.9,78.946,1.450030434782609,1.1,train,55.9607325623197,0.09299187654368576,0.09299187654368576,0.09299187654368576,0.09299187654368576,0.09299187654368576,0.09299187654368576,0.09299187654368576,0.01864781966359754,0.01864781966359754,0.01864781966359754,0.01864781966359754,0.01864781966359754,0.01864781966359754,0.01864781966359754,0.0017156054107555262,0.0017156054107555262,0.0017156054107555262,0.0017156054107555262
-1.8,-0.008,-3.9,-2.2,-0.4,3.6,1.867226086956521,0.7,4.1,401.0,20136.0,-0.1,3050990.2,0.1,-2.6,-3.1,4099037.8,5.5,-0.3,-0.5,0.8,0.440075734061414,79.854,0.4,1.3,60724.0,0.0,-0.1,0.0,4.59102666666667,0.0,4.5,-1.0,2006-09-01,0.0,-0.4,-0.6,2.1,4.5,0.4,23.94130082,4.68869333333333,6.9,0.15213105819163,78.946,-0.5,0.005,397.0,-0.6,3087946.9,0.1,60827.0,5.5,-0.1,3.22465594344661,0.1,5.5,-0.5,-0.45,0.5,0.5,1.7,0.3,-0.7,0.2,-0.09907220252055403,3.1,-0.5,2.2,1.4,-0.7,-0.6,0.2,0.5,-0.4,4088458.8,1.462608695652174,0.0,25.11312134,23.71670426,-1.5,0.18,0.1,-0.4,12.6,-0.8,-3.9,0.2,-1.2,80.045,-0.1,15.5,-3.5,1.844742857142857,-0.3,13.3,17281.0,15.3,-0.4,0.4,79.423,4.5,2.1,-1.1,1.454019047619048,-1.0,1.842840909090909,5.4,401.0,0.3,-0.5,80.091,1.456022727272727,-2.5,train,13.0770749889633,0.05887905270021692,0.05887905270021692,0.05887905270021692,0.05887905270021692,0.05887905270021692,0.05887905270021692,0.05887905270021692,-0.009381134370625998,-0.009381134370625998,-0.009381134370625998,-0.009381134370625998,-0.009381134370625998,-0.009381134370625998,-0.009381134370625998,0.001696199196363876,0.001696199196363876,0.001696199196363876,0.001696199196363876
-4.4,-0.012,0.0,-1.7,1.8,0.9,1.894078260869565,-1.0,-1.0,405.0,10300.0,0.3,3087946.9,-0.1,-0.9,6.4,4105184.5,5.4,-0.9,1.1,0.2,0.437452203232469,80.394,0.0,-1.1,60827.0,0.2,-1.7,2.8,4.68869333333333,0.3,4.75,-2.5,2006-12-01,-2.6,-0.6,0.7,0.3,4.75,3.5,24.71618782,4.90082666666667,-0.9,-0.6325270907422816,80.091,-1.0,0.002,401.0,-0.4,3106550.2,1.4,60950.0,5.5,0.2,-42.1840777271069,0.4,5.5,0.0,-0.49,-0.7,0.0,0.4,-1.7,1.8,-0.4,-0.502145330549104,-11.8,-0.6,-10.6,0.8,-1.7,0.3,-0.4,0.2,0.9,4099037.8,1.478578260869565,0.7,20.13560838,21.67931599,-1.0,0.36,0.4,-0.4,13.8,-1.2,7.7,1.1,0.5,80.587,0.1,15.1,0.5,1.875522727272728,-0.8,14.0,16431.0,14.8,-0.4,0.1,80.045,4.728260869565218,-0.6,-3.0,1.486922727272727,-1.3,1.8847,-4.6,402.0,0.4,-0.3,80.46,1.481133333333334,1.7,train,-39.5646846103312,-0.071206472137408,-0.071206472137408,-0.071206472137408,-0.071206472137408,-0.071206472137408,-0.071206472137408,-0.071206472137408,-0.12286975046947185,-0.12286975046947185,-0.12286975046947185,-0.12286975046947185,-0.12286975046947185,-0.12286975046947185,-0.12286975046947185,0.0020221283311687246,0.0020221283311687246,0.0020221283311687246,0.0020221283311687246
-0.5,0.0,1.8,-1.8,1.8,0.2,1.911854545454545,-1.3,-2.5,415.0,13229.0,0.2,3106550.2,0.2,-6.0,-3.7,4140466.5,5.5,-0.6,0.1,3.0,0.408030476288903,80.803,0.0,-3.0,60950.0,0.7,-2.2,4.6,4.90082666666667,-0.1,5.0,2.4,2007-03-01,-2.3,-0.4,-1.0,0.6,5.170454545454546,-0.4,19.48295759,5.21629,-0.4,-0.4530613769015004,80.46,-0.4,-0.003,407.0,-0.2,3139191.4,2.2,61073.0,5.5,0.8,-12.0363868855254,1.0,5.5,0.7,0.0,1.0,0.8,-0.4,0.9,-3.1,0.0,-0.8691183739908868,-0.6,0.2,-0.1,1.2,3.3,1.6,0.7,-0.3,1.0,4105184.5,1.483445454545455,0.2,17.8764313,20.09120672,-6.3,0.76,1.0,0.0,12.7,0.0,0.2,-1.6,-0.4,80.645,1.2,14.9,-1.8,1.958578260869565,-1.3,12.6,11711.0,15.5,0.0,0.1,80.587,4.931818181818182,0.7,0.1,1.506869565217392,-6.2,1.962995238095237,5.2,412.0,0.9,-0.8,81.274,1.486357142857143,-1.5,train,-2.29060408312127,-0.11023605753830992,-0.11023605753830992,-0.11023605753830992,-0.11023605753830992,-0.11023605753830992,-0.11023605753830992,-0.11023605753830992,0.0312195480172986,0.0312195480172986,0.0312195480172986,0.0312195480172986,0.0312195480172986,0.0312195480172986,0.0312195480172986,0.002018047579983593,0.002018047579983593,0.002018047579983593,0.002018047579983593
-4.5,-0.011,-0.2,-0.4,-0.3,-1.3,1.95805,-6.2,2.4,412.0,13805.0,-0.3,3139191.4,0.8,0.0,-11.1,4152922.5,5.4,-0.6,0.7,0.8,0.404687436329977,80.983,0.2,0.1,61073.0,1.6,-1.5,-0.2,5.21629,-0.4,5.25,-9.5,2007-06-01,-1.0,0.4,-1.3,1.0,5.25,1.3,18.74635749,5.53379666666667,-1.8,-0.5848987100104434,81.274,0.3,-0.005,419.0,-1.1,3164193.7,6.4,61196.0,5.5,0.5,-5.08024959262721,0.3,5.5,0.2,0.14,-0.5,0.0,-0.9,-0.8,-1.7,-0.3,-0.815093747960225,0.9,-1.6,2.6,2.3,-1.8,1.3,-0.2,-0.5,0.4,4140466.5,1.496905,1.1,21.33869632,19.87730932,0.8,0.16,0.3,0.4,12.6,-1.1,4.8,-0.8,0.6,81.622,1.6,14.5,-0.5,1.989109523809524,-1.2,12.7,13777.0,13.6,0.4,0.4,80.645,5.25,-1.0,-0.3,1.470961904761904,-6.1,1.947140909090909,-11.6,417.0,-0.3,-1.9,81.366,1.470318181818182,-1.3,train,3.53585275832258,0.07352036316754375,0.07352036316754375,0.07352036316754375,0.07352036316754375,0.07352036316754375,0.07352036316754375,0.07352036316754375,0.06032915090855857,0.06032915090855857,0.06032915090855857,0.06032915090855857,0.06032915090855857,0.06032915090855857,0.06032915090855857,0.0020139832659276605,0.0020139832659276605,0.0020139832659276605,0.0020139832659276605
-1.5,-0.005,0.4,-0.2,0.4,-0.8,1.984047826086957,-6.1,-9.5,420.0,19825.0,-1.0,3164193.7,0.5,-5.8,10.0,4178328.5,5.3,-0.9,-0.1,0.6,0.44004512725727,81.849,-0.3,-0.3,61196.0,1.4,-0.2,2.1,5.53379666666667,-1.0,5.5,-2.7,2007-09-01,0.2,2.6,-6.2,0.3,5.715909090909091,2.5,21.53126545,5.76553,-2.2,-0.369000023443309,81.366,-0.2,-0.015,416.0,-0.2,3185185.2,2.3,61319.0,5.3,0.6,7.08258472460861,0.6,5.4,1.1,-0.08,0.1,-1.5,-1.0,0.2,-1.5,-0.3,-0.430388198864424,3.6,1.1,-0.4,1.3,2.5,-0.3,-0.3,-1.5,-0.4,4152922.5,1.467913043478261,1.1,23.1615406,22.19219015,-2.9,0.14,0.6,0.1,12.9,-0.5,1.4,0.2,0.3,81.529,0.6,13.3,-1.4,2.033827272727273,-1.3,12.7,18353.0,13.8,0.1,0.2,81.622,5.428571428571429,-1.3,-2.6,1.482118181818181,-3.1,1.986371428571428,0.4,418.0,-1.0,0.3,82.028,1.480538095238095,0.5,train,15.2762405418016,0.043679801022252884,0.043679801022252884,0.043679801022252884,0.043679801022252884,0.043679801022252884,0.043679801022252884,0.043679801022252884,0.03069604531767077,0.03069604531767077,0.03069604531767077,0.03069604531767077,0.03069604531767077,0.03069604531767077,0.03069604531767077,0.002009935289888228,0.002009935289888228,0.002009935289888228,0.002009935289888228
-2.4,0.003,0.8,0.0,-1.5,0.4,2.011017391304348,-3.1,-2.7,423.0,12882.0,-0.2,3185185.2,0.6,-3.2,3.7,4202396.8,5.2,-0.1,0.9,-0.1,0.466066054400092,81.818,0.1,-2.6,61319.0,1.1,0.2,0.0,5.76553,0.3,5.75,5.2,2007-12-01,1.6,0.0,-6.1,-0.2,5.75,-4.0,22.37719578,6.36345333333333,-0.1,-0.03866383875650752,82.028,0.8,-0.012,422.0,-0.3,3200494.3,-1.9,61445.0,5.2,0.6,-7.54725947009916,0.3,5.3,1.1,-0.28,0.4,-2.5,-0.4,0.0,-0.9,-0.4,-0.6058304229850706,0.3,1.7,3.3,1.4,4.8,1.4,0.4,-1.2,0.1,4178328.5,1.476060869565217,2.0,24.96325509,23.54624224,3.7,0.07,0.3,-0.4,12.2,0.3,-4.4,-1.5,1.1,82.274,-2.0,15.2,1.0,2.044613043478261,-0.2,13.2,17114.0,15.0,-0.4,-0.8,81.529,5.75,-6.2,0.8,1.437,-0.1,2.018450000000001,11.3,424.0,-0.9,-1.4,81.875,1.451545,2.1,train,1.21436982211216,0.06017999966010708,0.06017999966010708,0.06017999966010708,0.06017999966010708,0.06017999966010708,0.06017999966010708,0.06017999966010708,0.05224275961534267,0.05224275961534267,0.05224275961534267,0.05224275961534267,0.05224275961534267,0.05224275961534267,0.05224275961534267,0.002054828030463641,0.002054828030463641,0.002054828030463641,0.002054828030463641
-2.8,-0.006999999999999999,2.4,1.0,3.1,0.8,2.070054545454545,-0.1,5.2,429.0,10439.0,0.3,3200494.3,0.6,1.0,-8.0,4228797.8,5.2,0.0,-0.8,3.5,0.516712217787868,82.494,0.3,0.8,61445.0,0.6,6.6,1.0,6.36345333333333,-0.3,5.539473684210527,-8.2,2008-03-01,6.8,-1.6,-3.1,0.9,5.5,7.1,28.04832319,6.34605,-1.6,-0.1437716874284516,81.875,-0.2,0.002,426.0,-0.7,3219615.2,3.0,61571.0,5.2,0.2,9.05616774295912,0.5,5.2,2.0,0.02,-0.2,0.3,0.2,-0.6,-3.4,-1.7,-0.3640722497082249,3.4,1.9,-0.4,1.8,-5.2,0.0,-0.1,0.2,-2.3,4202396.8,1.4106,-0.1,29.47956782,28.59083172,-0.7,0.52,0.5,0.1,13.6,-0.7,8.4,-2.0,0.2,82.407,-4.9,15.0,-0.8,1.970708695652174,4.0,12.5,7185.0,14.3,0.1,1.6,82.274,5.75,-6.1,2.6,1.339360869565217,6.6,2.014885714285715,-5.8,426.0,0.6,-0.5,82.967,1.385285714285714,-0.9,train,14.348174777016,0.031084653594680354,0.031084653594680354,0.031084653594680354,0.031084653594680354,0.031084653594680354,0.031084653594680354,0.031084653594680354,0.01934192380503582,0.01934192380503582,0.01934192380503582,0.01934192380503582,0.01934192380503582,0.01934192380503582,0.01934192380503582,0.0020506143705753114,0.0020506143705753114,0.0020506143705753114,0.0020506143705753114
3.4,0.016,2.5,2.3,1.3,0.7,1.963828571428571,6.6,-8.2,432.0,9924.0,-0.4,3219615.2,0.2,-2.7,3.3,4210750.8,5.2,1.7,1.6,2.6,0.602974162122588,82.997,0.0,2.6,61571.0,0.8,2.5,-0.8,6.34605,-1.2,5.25,13.3,2008-06-01,0.0,-1.2,-0.1,-0.3,5.079545454545454,-4.7,29.78097289,5.73365333333333,-2.7,0.1541954733691196,82.967,0.1,-0.027,435.0,1.3,3239726.2,-0.1,61698.0,5.3,-0.9,-7.54761271649332,-0.4,5.2,-0.1,0.63,0.8,-0.2,-0.6,-2.4,2.4,-0.6,0.1373651184303763,-0.1,-1.7,0.4,-0.9,-1.2,0.1,0.5,-2.7,-3.4,4228797.8,1.331638095238095,0.5,34.72918201,32.15084888,4.1,-0.73,-0.4,0.6,11.3,1.6,-7.3,3.5,-0.1,84.046,3.2,13.8,1.0,1.981663636363636,-0.4,11.8,12670.0,14.9,0.6,0.3,82.407,5.297619047619047,-3.1,-2.7,1.257995454545455,18.0,2.001209523809524,-3.4,437.0,-3.4,-0.8,83.369,1.289323809523809,-1.5,train,-0.262527660881275,0.08019486949235427,0.08019486949235427,0.08019486949235427,0.08019486949235427,0.08019486949235427,0.08019486949235427,0.08019486949235427,0.07957684924375877,0.07957684924375877,0.07957684924375877,0.07957684924375877,0.07957684924375877,0.07957684924375877,0.07957684924375877,0.002062659368858716,0.002062659368858716,0.002062659368858716,0.002062659368858716
2.4,0.006999999999999999,3.5,-1.9,1.4,-0.5,1.965431818181818,18.0,13.3,434.0,10292.0,-1.0,3239726.2,-0.9,-0.2,8.7,4235822.8,5.7,0.9,-0.6,-1.2,0.705518617392895,84.584,0.8,-2.7,61698.0,-0.2,0.3,2.0,5.73365333333333,-1.1,5.0,-8.5,2008-09-01,0.8,-0.9,6.6,-0.4,5.0,1.1,39.01878032,5.89154666666667,1.4,0.2752988636696621,83.369,-0.6,-0.004,434.0,-2.1,3227434.5,-2.3,61824.0,5.5,-1.8,3.5552498429287,-0.1,5.4,0.5,-0.55,-0.6,-2.4,-0.6,-2.2,0.7,-0.1,0.9994476253127994,0.0,-0.2,-0.6,0.8,-4.2,0.7,-0.2,-0.4,0.5,4210750.8,1.263859090909091,-1.3,43.20815905,42.35643534,2.9,-0.16,-0.1,-0.8,10.8,0.7,3.8,1.3,-1.2,85.145,0.4,14.5,2.4,1.987952173913044,0.3,11.0,8955.0,14.8,-0.8,-0.3,84.046,5.0,-0.1,-1.0,1.261508695652174,3.4,1.965804761904762,8.5,433.0,-0.8,-0.7,85.162,1.263561904761905,-2.1,train,0.0560123456970132,0.020108484181048693,0.020108484181048693,0.020108484181048693,0.020108484181048693,0.020108484181048693,0.020108484181048693,0.020108484181048693,0.08553970658814278,0.08553970658814278,0.08553970658814278,0.08553970658814278,0.08553970658814278,0.08553970658814278,0.08553970658814278,0.0020422055820285907,0.0020422055820285907,0.0020422055820285907,0.0020422055820285907
8.8,0.0,-3.5,-2.0,1.2,-0.9,1.887471428571428,3.4,-8.5,437.0,6881.0,-2.0,3227434.5,-1.8,5.7,-1.0,4213573.8,6.2,0.3,1.8,-0.9,0.720235960500635,85.673,-0.2,-1.0,61824.0,-1.6,-0.2,-2.1,5.89154666666667,-1.5,5.0,3.7,2008-12-01,-0.1,-1.2,18.0,-1.1,4.608695652173913,-5.2,38.4393933,5.83633,-5.5,-0.529783634534671,85.162,-0.6,-0.006,435.0,-1.8,3212017.1,-2.5,61933.0,6.0,-2.3,3.32847211155232,-1.3,5.9,-1.3,-0.26,0.6,-3.6,-0.4,-1.0,-1.0,0.4,-0.9763235778434735,0.4,-0.6,-1.8,-1.6,-6.2,1.3,-0.2,-0.6,-0.6,4235822.8,1.261095238095238,-1.7,28.63782126,36.16055464,-0.3,-1.22,-1.3,-0.2,14.6,0.0,-3.8,-3.1,-3.8,85.936,2.0,14.5,2.4,1.689982608695652,0.7,10.8,3435.0,16.6,-0.2,-0.1,85.145,5.0,6.6,-0.9,1.271821739130435,1.2,1.798618181818182,3.3,435.0,-0.6,2.3,86.142,1.253081818181818,-2.6,train,1.55487139601576,-0.20803700205633796,-0.20803700205633796,-0.20803700205633796,-0.20803700205633796,-0.20803700205633796,-0.20803700205633796,-0.20803700205633796,-0.05928393932273635,-0.05928393932273635,-0.05928393932273635,-0.05928393932273635,-0.05928393932273635,-0.05928393932273635,-0.05928393932273635,0.0017630693581780538,0.0017630693581780538,0.0017630693581780538,0.0017630693581780538
